0,0.22491,1,1
0.1618,0.93792,0.83196,1
0,0,1,1
0,0.23473,0.24866,0.98242
0,0.010557,0.71999,0.17963
0,0.066103,0.20487,0.11748
0,0,0.8439,0.84371
1,0.14864,0.71061,0.70933
0.05223,0,0.84214,0.36857
0.19709,0,0.15566,0.51112
0,0,0.15248,1
0.54616,0.088285,0.5389,0.61764
0,0.35929,0.58455,0.52592
0,0,0.99914,0.33001
0,0,1,0.88306
0,0.088364,0.13311,0.84467
1,0.22924,0.76758,0.20953
0,0.48592,0.020548,0.48504
0,0,0.44768,0.55829
0,0,1,0.92326
0,0,0.92378,1
0,0.585,0.86736,1
0,0.074497,0.45338,0.58913
0,0.30714,0.69556,0.74406
0,0,1,1
0,0,0.98264,0.89267
0,0,0.66979,1
0,0.0073156,0.622,1
0,0.41505,0.84325,0.24683
0.015688,0,0.67592,1
0,0,1,0.93808
0,0,1,1
0,0,0,1
0.9498,0.03656,0,0.62966
0,0,0.1412,0.93098
0,0.12149,1,0.76368
0,0,1,1
0.91473,0,0.021799,1
0,0,0.91102,0.40281
0,0,1,1
0,0,0.15783,0.70557
0.96733,0.52931,0.15384,0.61262
0,0,1,0.18759
0,0,0.96969,0.61984
0,0,1,0.52018
0,0.77561,0,0.75067
0,0,0.81418,1
0.38181,0,0.87646,0.31077
0.35273,5.7099e-05,0.25815,0.65249
0,0,1,0.7211
0,0.018235,1,0.94262
0,0,0,0.85721
0,0.29885,1,0.82767
0,0,0.46351,0.95494
0,0,1,0.84216
0,0,0.67926,0.89535
0,0,0.15229,0.77143
0,0,1,1
0,0,0.30183,1
0,1,0.66363,1
0,0,0.22236,0.17679
0,0.8,0.87413,0.93048
0.82761,0.20234,0.66479,0.69096
0.097296,0.90347,0.88745,0.87608
0.14735,0,0.50105,0.91036
0,0.10134,0,1
0.66126,0,0.68728,0.57454
0,0.4591,1,0.86745
0.22034,0.049951,0.85306,0.83341
0.15205,0,0.34529,0.88356
0.047658,0,0.24544,0.47669
0.13694,0,0.95259,0.64943
0,0.0070319,0.68003,0.14136
0,0,1,0.6305
0,0,0.14663,1
0,0.24152,1,1
0,0,0.26317,0.82345
0,0,1,0.4875
0,0.012793,0.29066,0.42041
0.60449,0,0.52094,0.64768
0.43903,0,0.83996,0.62245
0.41336,0.86795,1,0.94334
0,0,0.73924,0.33835
0,0,0,1
0.013572,0.012504,0.42185,0.89535
0.29603,0,0.55796,0.83851
0,0.56807,1,0.099545
0,0,0.38744,0.063912
0.76327,0,0,0.511
0.0045388,0,0.92651,0.57799
0.27242,0,0.99571,1
0.066534,0,0.51427,0.77403
0,0.41421,1,1
0,0.22659,0.71333,0.5668
0,0,1,0.9029
0.35025,0,1,1
0,0.060776,0.95621,0.59414
0,0,0.94666,0.88209
0,0.19939,0,0.99225
0.095819,0.11774,0.9304,1
